"musicalon_name","musicalon_location","musicalon_date","musicalon_missingdate"
"经典民族歌剧《洪湖赤卫队》 - 石家庄","石家庄 | 石家庄大剧院大剧场","2019.10.10-10.11",""
"第三届嬉习喜戏艺术节-“文华大奖”获奖舞剧《永不消逝的电波》-深圳站","深圳 | 南山文体中心剧院大剧院","2019.11.22-11.23",""
"《疯狂音乐史音乐会》","株洲 | 株洲神农大剧院","2019.11.30 周六 19:30",""
"“文华大奖” 大型原创舞剧《粉墨春秋》一厦门站","厦门 | 厦门沧江剧院","2019.12.04 周三 19:30",""
"歌舞剧《太行奶娘》 -潍坊站","潍坊 | 潍坊大剧院","2019.10.01 周二 19:30",""
"2019.10.25【高清放映系列】加拉·萨尔瓦多·达利基金会出品《达利·不朽之旅》","多地寻访超现实主义大师的不朽遗迹！","西安 | 别克·陕西大剧院-戏剧厅","2019.10.25 20:00"
"“文华剧目奖” 大型原创民族舞剧《一把酸枣》 一厦门站","厦门 | 厦门沧江剧院","2019.12.06 周五 19:30",""
"【中国西昌·大凉山国际戏剧节】歌剧《彝红》","凉山 | 金鹰大剧院","2019.11.24-11.25",""
"新现场上海高清放映·《黑桃皇后》","上海 | 猫悦上城OmS剧场","2019.10.05-10.31",""
"不眠之夜Sleep No More（9月场）","上海 | 麦金侬酒店","2019.09.27-09.29",""
"2019舞蹈演出季 中国澳门TDSM街舞音乐剧场《我係歌手》","广州 | 广州大剧院实验剧场","2019.10.05-10.06",""
"法语原版音乐剧《巴黎圣母院》","上海 | 上汽上海文化广场","2020.01.16-01.23",""
"国家艺术基金2018年传播交流推广资助项目——歌剧《马向阳下乡记》南京站","南京 | 南京保利大剧院大剧场","2019.09.27 周五",""
"音乐剧《涩女郎》","上海 | 虹桥艺术中心","2020.02.13-02.16",""
"《猫》CATS +《贝隆夫人》EVITA原版音乐剧限量套票-广州站","广州 | 广州白云国际会议中心世纪大会堂","2019.12.13 周五",""
"星期二艺术沙龙——英国TNT剧院《巴黎圣母院》","中山 | 中山市文化艺术中心小剧场","2019.11.26 周二 20:00",""
"法语音乐剧《摇滚红与黑》-上海站","两个女人会怎样与他的欲望之路相互纠缠，又会以怎样的方式改写他的人生？","上海 | 上汽上海文化广场","2019.10.03-06"
"绛州鼓乐音乐剧《老鼠娶亲》","一部充满鼓乐节奏、诙谐故事与生动情感的感人剧目","中山 | 中山市文化艺术中心大剧场","2019.09.18-12.21"
"大型原创体验式实景音乐剧《丝路恋歌》","成都 | 成都市双流体育中心综合比赛馆","2019.10.24-10.26",""
"【高清放映】英国国家剧院现场NT-live 《哈姆雷特》-石家庄站","石家庄 | 石家庄大剧院中剧场","2019.11.23 周六 14:30",""
"THE LION KING 狮子王 曼谷站","DISNEYS THE LION KING 狮子王 曼谷站","国际及港澳台 | Muangthai Rachadalai Theatre","2019.10.1-10.06（当地时间）"
"百老汇音乐剧《摇滚年代》中文版","艺人：郑云龙","上海 | 人民大舞台","2019.10.30-11.03"
"舞台剧《大话西游之大圣娶亲》2019全国巡演杭州站","杭州 | 浙江省人民大会堂","2019.12.21 周六 19:30",""
"音乐剧《长腿叔叔》中文版","杭州 | 杭州剧院","2019.12.27-12.28",""
