"musicalon_name","musicalon_location","musicalon_date","musicalon_missingdate"
"音乐剧《泰坦尼克号》","上海 | 上汽上海文化广场","2019.11.27-12.01",""
"南京市文化消费政府补贴剧目：音乐剧《拉赫玛尼诺夫》","南京 | 江苏荔枝大剧院","2019.11.09 周六",""
"风靡全球28年 颠覆感官的极限体验秀《蓝人秀》","兰州 | 甘肃大剧院大剧场","2019.12.18-12.22",""
"舞台剧《剑网3·曲云传》","杭州 | 杭州剧院","2019.11.15-11.17",""
"20周年纪念版*法语音乐剧里程碑《巴黎圣母院》-深圳站","深圳 | 深圳保利剧院","2020.01.10-01.12",""
"纽约体验式大秀《蓝人秀》北京站","北京 | 天桥艺术中心-大剧场","2019.11.27-12.08",""
"开心麻花高糖音乐喜剧《恋爱吧！人类》","喵星人小剧场","广州 | 正佳开心麻花剧场","2019.10.18-10.20"
"音乐剧《我的遗愿清单》","成都 | 四川歌舞大剧院","2019.10.25-10.26",""
"百老汇摇滚音乐剧《吉屋出租RENT》中文版-广州站","广州 | 广州少年宫蓓蕾剧院","2019.12.07 周六",""
"音乐剧《阴阳师》~大江山之章~济南站","济南 | 山东省会大剧院歌剧厅","2019.12.20-12.22",""
"音乐剧《拉赫玛尼诺夫》","杭州 | 杭州剧院","2020.01.04 周六 19:30",""
"杨丽萍作品舞剧《春之祭》一福州","艺人：杨丽萍","福州 | 福州海峡文化艺术中心","2019.11.02-11.03"
"致敬经典-舞台剧《老兵》","合肥 | 百乐门大剧院","2019.09.28-09.29",""
"音乐剧《摇滚年代》中文版（ET剧场）","上海 | ET聚场(上海共舞台)","2019.10.24-10.27",""
"音乐剧《DREAMGIRLS追梦女郎》","上海 | 上汽上海文化广场","2020.01.02-01.10",""
"音乐剧《我的遗愿清单》","重庆 | 重庆大剧院","2019.10.18-10.19",""
"伦敦西区原版音乐剧《玛蒂尔达》","大师点金手，挑战成惊艳","西安 | 别克·陕西大剧院-歌剧厅","2020.01.04-01.11"
"20周年纪念版 法语音乐剧里程碑《巴黎圣母院》","广州 | 广州大剧院歌剧厅","2019.12.05-12.08",""
"南京市文化消费政府补贴剧目--伦敦西区原版音乐剧《Matilda the Musical玛蒂尔达》","南京 | 南京保利大剧院大剧场","2020.01.16-01.22",""
"原版音乐剧史诗巨制《艾薇塔》Evita 北京站","北京 | 世纪剧院","2019.11.22-11.28",""
"音乐剧《阴阳师》~大江山之章~深圳站","深圳 | 深圳保利剧院","2019.11.22-11.24",""
"舞剧《杜甫》","贵阳 | 贵州饭店国际会议中心(北京路)","2019.10.22 周二 20:00",""
"李玉刚《昭君出塞》","艺人：李玉刚","泰州 | 泰州大剧院","2019.11.13 周三 19:30"
