name,province,date,type
音乐剧《芝加哥》,上海市,2019.12.05-12.15,引进原版
音乐剧《我的遗愿清单》,广东省,2019.12.05-周四-20:00,中文版制作
伦敦西区原版音乐剧《玛蒂尔达》,上海市,2019.12.06-12.19,引进原版
音乐剧《马不停蹄的忧伤》,江苏省,2019.12.07-12.08,本土原创
百老汇摇滚音乐剧《吉屋出租RENT》中文版,广东省,2019.12.07-周六,中文版制作
科幻巨作《献给阿尔吉侬的花束》改编音乐剧中文版,上海市,2019.12.11-12.22,中文版制作
英文原版音乐剧《泰坦尼克号》,广东省,2019.12.12-12.14,引进原版
百老汇摇滚音乐剧《吉屋出租RENT》中文版,广东省,2019.12.13-12.14,中文版制作
音乐剧《阴阳师》,上海市,2019.12.13-12.15,本土原创
法语原版音乐剧《巴黎圣母院》,四川省,2019.12.13-12.15,引进原版
音乐剧史诗巨作《贝隆夫人》Evita,广东省,2019.12.13-12.18,引进原版
音乐剧《我的遗愿清单》,广东省,2019.12.14-12.15,中文版制作
《白夜行》音乐剧,广东省,2019.12.14-12.15,本土原创
百老汇经典音乐剧《音乐之声》中文版,浙江省,2019.12.14-周六-19:30,中文版制作
陈少琪原创音乐剧《爱在星光里》,福建省,2019.12.14-周六-20:00,本土原创
音乐剧《我的遗愿清单》中文版,广东省,2019.12.17-12.19,中文版制作
陈少琪原创音乐剧《爱在星光里》,广东省,2019.12.18-周三-20:00,本土原创
法语原版音乐剧《巴黎圣母院》,陕西省,2019.12.19-12.22,引进原版
音乐剧《芝加哥》 CHICAGO THE MUSICAL,江苏省,2019.12.19-12.22,引进原版
音乐剧《阴阳师》,山东省,2019.12.20-12.22,本土原创
音乐剧《拉赫玛尼诺夫》中文版,广东省,2019.12.21-12.22,中文版制作
音乐剧《爱在星光里》,广东省,2019.12.21-12.22,本土原创
绛州鼓乐音乐剧《老鼠娶亲》,广东省,2019.12.21-周六-20:00,本土原创
原版童话音乐剧《卖火柴的小女孩》,江苏省,2019.12.25-周三-19:30,本土原创
陈少琪原创音乐剧《爱在星光里》,福建省,2019.12.25-周三-19:30,本土原创
百老汇原版音乐剧《芝加哥》Chicago ,江苏省,2019.12.26-12.28,引进原版
法语音乐剧《巴黎圣母院》武汉站,湖北省,2019.12.26-12.29,引进原版
音乐剧《长腿叔叔》中文版,浙江省,2019.12.27-12.28,中文版制作
音乐剧《阴阳师》,北京市,2019.12.27-12.29,本土原创
音乐剧《拉赫玛尼诺夫》,浙江省,2019.12.30-周一-19:30,中文版制作
音乐剧《DREAMGIRLS追梦女郎》,上海市,2020.01.02-01.10,本土原创
音乐剧《芝加哥》,广东省,2020.01.02-01.10,引进原版
法语原版音乐剧《巴黎圣母院》,河南省,2020.01.03-01.05,引进原版
伦敦西区原版音乐剧《玛蒂尔达》,陕西省,2020.01.04-01.11,引进原版
音乐剧《拉赫玛尼诺夫》,浙江省,2020.01.04-周六-19:30,中文版制作
孟京辉戏剧作品 摇滚音乐剧《空中花园谋杀案》,北京市,2020.01.07-01.19,本土原创
百老汇摇滚音乐剧《吉屋出租RENT》中文版,北京市,2020.01.09-01.10,中文版制作
法语音乐剧《巴黎圣母院》,广东省,2020.01.10-01.12,引进原版
伦敦西区原版音乐剧《Matilda the Musical玛蒂尔达》,江苏省,2020.01.16-01.22,引进原版
法语原版音乐剧《巴黎圣母院》,上海市,2020.01.16-01.23,引进原版
音乐剧《涩女郎》,上海市,2020.02.13-02.16,本土原创
