Name,musicalname,count
中文版制作,"音乐剧《拉赫玛尼诺夫》中文版,科幻巨作《献给阿尔吉侬的花束》改编音乐剧中文版,百老汇摇滚音乐剧《吉屋出租RENT》中文版,音乐剧《我的遗愿清单》,音乐剧《长腿叔叔》中文版,百老汇经典音乐剧《音乐之声》中文版,Black Mary Poppins 中文版音乐剧《水曜日》,音乐剧《摇滚年代》中文版,世界经典音乐剧《妈妈咪呀！》中文版,原版经典音乐剧《猫》CATS,音乐剧《贝隆夫人》,法国音乐剧《放牛班的春天》中文版",12
本土原创,"大型原创音乐剧《西厢》,小柯音乐剧爱情三部曲之《因为爱情2》,音乐剧《白夜行》,百老汇原版音乐剧《芝加哥》Chicago,孟京辉戏剧作品 摇滚音乐剧《空中花园谋杀案》,华语原创音乐剧《马不停蹄的忧伤》,音乐剧《帅小伙的蔬果店》,原装明星版《搭错车》音乐剧,摇滚音乐剧《大力水手》,音乐剧 《阿尔兹记忆的爱情》,音乐剧《涩女郎》,音乐剧《DREAMGIRLS追梦女郎》,陈少琪原创音乐剧《爱在星光里》,音乐剧《阴阳师》,音乐剧《马不停蹄的忧伤》,音乐剧《国王与我》,建筑音乐剧场《建筑城市》,音乐剧《火花》,音乐剧《淮海儿女》,大型原创体验式实景音乐剧《丝路恋歌》,家庭音乐剧《故宫里的大怪兽之吻兽使命》,音乐剧《九九艳阳天》,音乐剧《我们还能陪妈妈多久》,TDSM街舞音乐剧场《我係歌手》,先锋音乐剧《新·石头记》,绛州鼓乐音乐剧《老鼠娶亲》",26
引进原版,"英文原版音乐剧《泰坦尼克号》,法国原版音乐剧《卖火柴的小女孩》,法语原版音乐剧《巴黎圣母院》,托尼奖史诗音乐剧《泰坦尼克号》,伦敦西区原版音乐剧《玛蒂尔达》,原版音乐剧史诗巨制《艾薇塔》Evita,法语音乐剧《摇滚红与黑》,英国伦敦西区音乐剧《老虎来喝下午茶》,莫斯科轻歌剧院·音乐剧《安娜·卡列尼娜》",9
